,geo,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017","World bank, 3 income groups 2017"
0,afg,Afghanistan,asia,asia_west,south_asia,g77,33,66,19/11/1946,South Asia,Low income,
1,alb,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,
2,dza,Algeria,africa,africa_north,middle_east_north_africa,g77,28,3,8/10/1962,Middle East & North Africa,Upper middle income,
3,and,Andorra,europe,europe_west,europe_central_asia,others,"42,50779","1,52109",28/7/1993,Europe & Central Asia,High income,
4,ago,Angola,africa,africa_sub_saharan,sub_saharan_africa,g77,"-12,5","18,5",1/12/1976,Sub-Saharan Africa,Lower middle income,
5,atg,Antigua and Barbuda,americas,america_north,america,g77,"17,05","-61,8",11/11/1981,Latin America & Caribbean,High income,
6,arg,Argentina,americas,america_south,america,g77,-34,-64,24/10/1945,Latin America & Caribbean,Upper middle income,
7,arm,Armenia,europe,europe_east,europe_central_asia,others,"40,25",45,2/3/1992,Europe & Central Asia,Lower middle income,
8,aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income,
9,aut,Austria,europe,europe_west,europe_central_asia,oecd,"47,33333","13,33333",14/12/1955,Europe & Central Asia,High income,
10,aze,Azerbaijan,europe,europe_east,europe_central_asia,others,"40,5","47,5",2/3/1992,Europe & Central Asia,Upper middle income,
11,bhs,Bahamas,americas,america_north,america,g77,"25,04082","-77,37122",18/8/1973,Latin America & Caribbean,High income,
12,bhr,Bahrain,asia,asia_west,middle_east_north_africa,g77,"26,03333","50,55",21/9/1971,Middle East & North Africa,High income,
13,bgd,Bangladesh,asia,asia_west,south_asia,g77,24,90,17/9/1974,South Asia,Lower middle income,
14,brb,Barbados,americas,america_north,america,g77,"13,16667","-59,53333",9/12/1966,Latin America & Caribbean,High income,
15,blr,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income,
16,bel,Belgium,europe,europe_west,europe_central_asia,oecd,"50,75","4,5",27/12/1945,Europe & Central Asia,High income,
17,blz,Belize,americas,america_north,america,g77,"17,49952","-88,19756",25/9/1981,Latin America & Caribbean,Upper middle income,
18,ben,Benin,africa,africa_sub_saharan,sub_saharan_africa,g77,"9,5","2,25",20/9/1960,Sub-Saharan Africa,Low income,
19,btn,Bhutan,asia,asia_west,south_asia,g77,"27,5","90,5",21/9/1971,South Asia,Lower middle income,
20,bol,Bolivia,americas,america_south,america,g77,-17,-65,14/11/1945,Latin America & Caribbean,Lower middle income,
21,bih,Bosnia and Herzegovina,europe,europe_east,europe_central_asia,g77,"44,25","17,83333",22/5/1992,Europe & Central Asia,Upper middle income,
22,bwa,Botswana,africa,africa_sub_saharan,sub_saharan_africa,g77,-22,24,17/10/1966,Sub-Saharan Africa,Upper middle income,
23,bra,Brazil,americas,america_south,america,g77,-10,-55,24/10/1945,Latin America & Caribbean,Upper middle income,
24,brn,Brunei,asia,east_asia_pacific,east_asia_pacific,g77,"4,5","114,66667",21/9/1984,East Asia & Pacific,High income,
25,bgr,Bulgaria,europe,europe_east,europe_central_asia,others,"42,66667","25,25",14/12/1955,Europe & Central Asia,Upper middle income,
26,bfa,Burkina Faso,africa,africa_sub_saharan,sub_saharan_africa,g77,"12,5","-1,66667",20/9/1960,Sub-Saharan Africa,Low income,
27,bdi,Burundi,africa,africa_sub_saharan,sub_saharan_africa,g77,"-3,5",30,18/9/1962,Sub-Saharan Africa,Low income,
28,khm,Cambodia,asia,east_asia_pacific,east_asia_pacific,g77,13,105,14/12/1955,East Asia & Pacific,Lower middle income,
29,cmr,Cameroon,africa,africa_sub_saharan,sub_saharan_africa,g77,6,"12,5",20/9/1960,Sub-Saharan Africa,Lower middle income,
30,can,Canada,americas,america_north,america,oecd,"60,10867","-113,64258",9/11/1945,North America,High income,
31,cpv,Cape Verde,africa,africa_sub_saharan,sub_saharan_africa,g77,16,-24,16/9/1975,Sub-Saharan Africa,Lower middle income,
32,caf,Central African Republic,africa,africa_sub_saharan,sub_saharan_africa,g77,7,21,20/9/1960,Sub-Saharan Africa,Low income,
33,tcd,Chad,africa,africa_sub_saharan,sub_saharan_africa,g77,15,19,20/9/1960,Sub-Saharan Africa,Low income,
34,chl,Chile,americas,america_south,america,g77,"-33,45694","-70,64827",24/10/1945,Latin America & Caribbean,High income,
35,chn,China,asia,east_asia_pacific,east_asia_pacific,g77,35,105,24/10/1945,East Asia & Pacific,Upper middle income,
36,col,Colombia,americas,america_south,america,g77,4,"-73,25",5/11/1945,Latin America & Caribbean,Upper middle income,
37,com,Comoros,africa,africa_sub_saharan,sub_saharan_africa,g77,"-12,23333","44,44553",12/11/1975,Sub-Saharan Africa,Low income,
38,cod,"Congo, Dem. Rep.",africa,africa_sub_saharan,sub_saharan_africa,g77,"-2,5","23,5",20/9/1960,Sub-Saharan Africa,Low income,
39,cog,"Congo, Rep.",africa,africa_sub_saharan,sub_saharan_africa,g77,-1,"15,5",20/9/1960,Sub-Saharan Africa,Lower middle income,
40,cri,Costa Rica,americas,america_north,america,g77,10,-84,2/11/1945,Latin America & Caribbean,Upper middle income,
41,civ,Cote d'Ivoire,africa,africa_sub_saharan,sub_saharan_africa,g77,8,"-5,5",20/9/1960,Sub-Saharan Africa,Lower middle income,
42,hrv,Croatia,europe,europe_east,europe_central_asia,others,"45,16667","15,5",22/5/1992,Europe & Central Asia,Upper middle income,
43,cub,Cuba,americas,america_north,america,g77,22,"-79,5",24/10/1945,Latin America & Caribbean,Upper middle income,
44,cyp,Cyprus,europe,europe_west,europe_central_asia,others,35,33,20/9/1960,Europe & Central Asia,High income,
45,cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,"49,75",15,19/1/1993,Europe & Central Asia,High income,
46,dnk,Denmark,europe,europe_west,europe_central_asia,oecd,56,10,24/10/1945,Europe & Central Asia,High income,
47,dji,Djibouti,africa,africa_north,middle_east_north_africa,g77,"11,58901","43,14503",20/9/1977,Middle East & North Africa,Lower middle income,
48,dma,Dominica,americas,america_north,america,g77,"15,5","-61,33333",18/12/1978,Latin America & Caribbean,Upper middle income,
49,dom,Dominican Republic,americas,america_north,america,g77,19,"-70,66667",24/10/1945,Latin America & Caribbean,Upper middle income,
50,ecu,Ecuador,americas,america_south,america,g77,"-1,25","-78,25",21/12/1945,Latin America & Caribbean,Upper middle income,
51,egy,Egypt,africa,africa_north,middle_east_north_africa,g77,27,30,24/10/1945,Middle East & North Africa,Lower middle income,
52,slv,El Salvador,americas,america_north,america,g77,"13,83333","-88,91667",24/10/1945,Latin America & Caribbean,Lower middle income,
53,gnq,Equatorial Guinea,africa,africa_sub_saharan,sub_saharan_africa,g77,"1,7","10,5",12/11/1968,Sub-Saharan Africa,Upper middle income,
54,eri,Eritrea,africa,africa_sub_saharan,sub_saharan_africa,g77,15,39,28/5/1993,Sub-Saharan Africa,Low income,
55,est,Estonia,europe,europe_east,europe_central_asia,others,59,26,17/9/1991,Europe & Central Asia,High income,
56,eth,Ethiopia,africa,africa_sub_saharan,sub_saharan_africa,g77,9,"39,5",13/11/1945,Sub-Saharan Africa,Low income,
57,fji,Fiji,asia,east_asia_pacific,east_asia_pacific,g77,-18,178,13/10/1970,East Asia & Pacific,Upper middle income,
58,fin,Finland,europe,europe_east,europe_central_asia,oecd,64,26,14/12/1955,Europe & Central Asia,High income,
59,fra,France,europe,europe_west,europe_central_asia,oecd,46,2,24/10/1945,Europe & Central Asia,High income,
60,gab,Gabon,africa,africa_sub_saharan,sub_saharan_africa,g77,-1,"11,75",20/9/1960,Sub-Saharan Africa,Upper middle income,
61,gmb,Gambia,africa,africa_sub_saharan,sub_saharan_africa,g77,"13,5","-15,5",21/9/1965,Sub-Saharan Africa,Low income,
62,geo,Georgia,europe,europe_east,europe_central_asia,others,"41,99998","43,4999",31/7/1992,Europe & Central Asia,Lower middle income,
63,deu,Germany,europe,europe_west,europe_central_asia,oecd,"51,5","10,5",18/9/1973,Europe & Central Asia,High income,
64,gha,Ghana,africa,africa_sub_saharan,sub_saharan_africa,g77,"8,1","-1,2",8/3/1957,Sub-Saharan Africa,Lower middle income,
65,grc,Greece,europe,europe_west,europe_central_asia,oecd,39,22,25/10/1945,Europe & Central Asia,High income,
66,grd,Grenada,americas,america_north,america,g77,"12,11667","-61,66667",17/9/1974,Latin America & Caribbean,Upper middle income,
67,gtm,Guatemala,americas,america_north,america,g77,"14,64072","-90,51327",21/11/1945,Latin America & Caribbean,Lower middle income,
68,gin,Guinea,africa,africa_sub_saharan,sub_saharan_africa,g77,"10,83333","-10,66667",12/12/1958,Sub-Saharan Africa,Low income,
